fallo,coord,concurrencia,repeticion,warmup_seconds,measure_seconds,fault_probability,delay_seconds,usuarios_objetivo,usuarios_spawneados,requests_total,requests_fail,tasa_error,checkout_total,checkout_fail,checkout_confirmadas,tasa_abortos_checkout,codigos_http_json,latencia_p50_ms,latencia_p95_ms,latencia_p99_ms,throughput_rps,locust_cpu_pct_media,locust_cpu_pct_max,locust_mem_mb_media,locust_mem_mb_max,locust_warning_detected,locust_warning_texto,inicio_epoch,duracion_segundos
omission,saga,400,2,60.0,300.0,0.1,5.0,400,400,3219,2258,0.70146,272,264,8,0.970588,"{""0"": 2048, ""200"": 953, ""201"": 8, ""401"": 149, ""409"": 4, ""500"": 19, ""503"": 38}",17000,92000,92000,8.166889202152637,0.0,0.8,105.08,111.22,False,,1788708891.418,396.214
timing,saga,50,2,60.0,300.0,0.1,5.0,50,50,857,0,0.0,403,0,403,0.0,"{""200"": 454, ""201"": 404}",17000,34000,41000,2.6217771522818087,0.6,97.7,74.59,76.52,False,,1788709457.371,329.28
timing,saga,100,2,60.0,300.0,0.1,5.0,100,100,1032,79,0.07655,439,26,413,0.059226,"{""0"": 1, ""200"": 540, ""201"": 414, ""500"": 6, ""503"": 72}",32000,63000,75000,2.831945946196436,0.0,0.0,79.37,81.96,False,,1788710010.019,367.098
timing,saga,200,2,60.0,300.0,0.1,5.0,200,200,1459,337,0.23098,585,250,335,0.42735,"{""0"": 58, ""200"": 787, ""201"": 336, ""401"": 12, ""409"": 1, ""500"": 135, ""503"": 132}",49000,88000,90000,3.7392969650177554,0.5,97.7,86.87,91.82,False,,1788710716.789,392.863
timing,saga,400,2,60.0,300.0,0.1,5.0,400,400,3454,2417,0.699768,305,293,12,0.960656,"{""0"": 2140, ""200"": 1025, ""201"": 12, ""401"": 185, ""500"": 52, ""503"": 42}",17000,92000,92000,8.796834983747189,0.0,0.0,105.81,111.64,False,,1788711590.965,396.173
none,2pc,50,3,60.0,300.0,0.0,5.0,50,50,773,0,0.0,361,0,361,0.0,"{""200"": 412, ""201"": 362}",18000,47000,61000,2.3590498783120006,0.6,97.7,74.73,76.46,False,,1788712174.531,330.458
none,2pc,100,3,60.0,300.0,0.0,5.0,100,100,920,8,0.008696,409,7,402,0.017115,"{""0"": 2, ""200"": 510, ""201"": 403, ""500"": 2, ""503"": 4}",33000,73000,83000,2.628648738799298,0.0,0.0,78.5,81.63,False,,1788712724.835,351.643
none,2pc,200,3,60.0,300.0,0.0,5.0,200,200,1458,558,0.382716,537,376,161,0.700186,"{""0"": 128, ""200"": 739, ""201"": 162, ""401"": 23, ""409"": 12, ""500"": 79, ""503"": 316}",48000,90000,90000,4.059987632434029,0.0,0.0,86.46,92.09,False,,1788713424.904,363.9
none,2pc,400,3,60.0,300.0,0.0,5.0,400,400,4462,3545,0.794487,400,328,72,0.82,"{""0"": 3196, ""200"": 845, ""201"": 72, ""401"": 198, ""409"": 10, ""500"": 70, ""503"": 71}",17000,90000,92000,11.308461182829092,0.0,0.0,105.62,110.91,False,,1788714268.59,396.219
omission,2pc,50,3,60.0,300.0,0.1,5.0,50,50,844,83,0.098341,389,68,321,0.174807,"{""200"": 440, ""201"": 322, ""500"": 42, ""503"": 41}",18000,34000,41000,2.6020004477184826,0.0,0.0,74.47,77.18,False,,1788714831.89,327.704
omission,2pc,100,3,60.0,300.0,0.1,5.0,100,100,888,86,0.096847,392,84,308,0.214286,"{""0"": 14, ""200"": 494, ""201"": 308, ""500"": 69, ""503"": 5}",34000,72000,90000,2.6295023971027858,0.0,0.0,78.74,82.12,False,,1788715386.969,340.273
omission,2pc,200,3,60.0,300.0,0.1,5.0,200,200,1429,440,0.307908,558,329,229,0.589606,"{""0"": 79, ""200"": 760, ""201"": 229, ""401"": 19, ""409"": 32, ""500"": 137, ""503"": 175}",48000,90000,90000,4.068126556841004,0.0,0.0,85.39,90.57,False,,1788716074.315,353.777
omission,2pc,400,3,60.0,300.0,0.1,5.0,400,400,3496,2509,0.717677,323,294,29,0.910217,"{""0"": 1996, ""200"": 958, ""201"": 29, ""401"": 152, ""500"": 44, ""503"": 317}",17000,92000,92000,8.866954036065412,0.53,104.2,104.62,110.2,False,,1788716897.458,396.148
timing,2pc,50,3,60.0,300.0,0.1,5.0,50,50,742,0,0.0,345,0,345,0.0,"{""200"": 397, ""201"": 347}",20000,41000,58000,2.210456666213643,0.0,0.0,74.81,77.2,False,,1788717466.523,337.642
timing,2pc,100,3,60.0,300.0,0.1,5.0,100,100,936,78,0.083333,390,26,364,0.066667,"{""0"": 1, ""200"": 494, ""201"": 368, ""500"": 13, ""503"": 64}",36000,68000,79000,2.4837093602891755,0.0,0.0,78.9,81.62,False,,1788718049.156,379.606
timing,2pc,200,3,60.0,300.0,0.1,5.0,200,200,1451,598,0.41213,500,349,151,0.698,"{""0"": 102, ""200"": 702, ""201"": 152, ""401"": 12, ""409"": 35, ""500"": 127, ""503"": 322}",46000,90000,90000,4.358878077049789,0.0,0.0,85.65,91.66,False,,1788718781.127,344.639
timing,2pc,400,3,60.0,300.0,0.1,5.0,400,400,3027,1996,0.659399,286,248,38,0.867133,"{""0"": 1681, ""200"": 994, ""201"": 38, ""401"": 140, ""409"": 7, ""500"": 28, ""503"": 141}",17000,92000,92000,7.673964348192349,0.0,0.8,105.37,111.21,False,,1788719607.701,396.237
none,saga,50,3,60.0,300.0,0.0,5.0,50,50,948,239,0.25211,357,56,301,0.156863,"{""200"": 408, ""201"": 302, ""500"": 1, ""503"": 238}",16000,34000,42000,2.8849841336981425,0.0,0.0,75.17,77.68,False,,1788720185.009,331.035
none,saga,100,3,60.0,300.0,0.0,5.0,100,100,935,13,0.013904,412,7,405,0.01699,"{""200"": 517, ""201"": 410, ""500"": 6, ""503"": 7}",36000,65000,77000,2.52770546652689,0.0,0.0,78.47,81.21,False,,1788720761.882,372.67
none,saga,200,3,60.0,300.0,0.0,5.0,200,200,1442,582,0.403606,490,327,163,0.667347,"{""0"": 97, ""200"": 697, ""201"": 168, ""401"": 15, ""500"": 145, ""503"": 326}",47000,90000,90000,3.960419482930024,0.0,0.0,85.75,90.68,False,,1788721478.311,366.717
none,saga,400,3,60.0,300.0,0.0,5.0,400,400,3254,2036,0.625691,447,373,74,0.834452,"{""0"": 1628, ""200"": 1144, ""201"": 74, ""401"": 170, ""500"": 26, ""503"": 212}",25000,92000,92000,8.276557080821023,0.5,97.7,104.87,110.94,False,,1788722322.159,396.329
omission,saga,50,3,60.0,300.0,0.1,5.0,50,50,814,38,0.046683,381,38,343,0.099738,"{""200"": 433, ""201"": 344, ""500"": 39}",18000,33000,39000,2.505758793975057,0.0,0.0,74.97,77.34,False,,1788722904.915,328.463
omission,saga,100,3,60.0,300.0,0.1,5.0,100,100,783,77,0.09834,331,59,272,0.178248,"{""0"": 11, ""200"": 434, ""201"": 272, ""500"": 44, ""503"": 25}",42000,82000,90000,2.2189102418648488,0.0,0.0,78.39,80.97,False,,1788723483.242,354.689
omission,saga,200,3,60.0,300.0,0.1,5.0,200,200,1485,485,0.326599,564,329,235,0.583333,"{""0"": 47, ""200"": 765, ""201"": 236, ""401"": 14, ""409"": 1, ""500"": 198, ""503"": 225}",48000,85000,90000,4.035618990846747,0.0,0.0,85.91,90.31,False,,1788724190.577,371.492
omission,saga,400,3,60.0,300.0,0.1,5.0,400,400,2977,1880,0.631508,373,346,27,0.927614,"{""0"": 1573, ""200"": 1070, ""201"": 27, ""401"": 157, ""409"": 16, ""500"": 48, ""503"": 87}",25000,92000,92000,7.56438389356175,0.0,0.0,104.63,111.28,False,,1788725032.587,396.145
timing,saga,50,3,60.0,300.0,0.1,5.0,50,50,895,0,0.0,422,0,422,0.0,"{""200"": 473, ""201"": 423}",16000,31000,39000,2.809412959585867,0.0,0.0,74.94,77.31,False,,1788725606.323,321.724
timing,saga,100,3,60.0,300.0,0.1,5.0,100,100,1076,7,0.006506,485,3,482,0.006186,"{""200"": 587, ""201"": 484, ""500"": 1, ""503"": 6}",30000,56000,69000,3.0655757873773393,0.0,0.0,78.66,81.32,False,,1788726162.245,354.121
timing,saga,200,3,60.0,300.0,0.1,5.0,200,200,1477,498,0.33717,551,324,227,0.588022,"{""0"": 69, ""200"": 752, ""201"": 228, ""401"": 6, ""500"": 175, ""503"": 248}",48000,90000,90000,3.923641430272892,0.52,97.7,86.07,90.57,False,,1788726844.57,377.936
